[Mar 31 2015 00:59:05.000000 - INFO] service=LineItemService method=getLineItemsByStatement responseTime=794 requestId=65dbd94d5b1ab81fa844ebf8864c07e2 server=ads.google.com isFault=0 faultMessage=null
[Apr 13 2015 19:29:43.000000 - ERROR] service=LineItemService method=createLineItems responseTime=1349 requestId=853edf67041c7825384f4af68a28a285 server=ads.google.com isFault=1 faultMessage=[UniqueError.NOT_UNIQUE @ lineItem[2].name; trigger:'Line item #552bfd0485803', UniqueError.NOT_UNIQUE @ lineItem[3].name; trigger:'Line item #552bfd0485803', UniqueError.NOT_UNIQUE @ lineItem[4].name; trigger:'Line item #552bfd0485803']
[Apr 13 2015 19:30:19.000000 - ERROR] service=LineItemService method=createLineItems responseTime=1280 requestId=b9724a5b141d658d8a83a4b78e10c3bd server=ads.google.com isFault=1 faultMessage=[UniqueError.NOT_UNIQUE @ lineItem[1].name; trigger:'Lineitem #552bfd28235d7', UniqueError.NOT_UNIQUE @ lineItem[2].name; trigger:'Lineitem #552bfd28235d7', UniqueError.NOT_UNIQUE @ lineItem[3].name; trigger:'Lineitem #552bfd28235d7', UniqueError.NOT_UNIQUE @ lineItem[4].name; trigger:'Lineitem #552bfd28235d7']
[Apr 13 2015 19:31:01.000000 - ERROR] service=LineItemService method=createLineItems responseTime=1443 requestId=d3c2222bb5d86508ea4a2726b69c4b90 server=ads.google.com isFault=1 faultMessage=[UniqueError.NOT_UNIQUE @ lineItem[1].name; trigger:'12321123 #552bfd527b5be', UniqueError.NOT_UNIQUE @ lineItem[3].name; trigger:'12321123 #552bfd527b9a6', UniqueError.NOT_UNIQUE @ lineItem[4].name; trigger:'12321123 #552bfd527b9a6']
[Apr 13 2015 19:33:33.000000 - ERROR] service=LineItemService method=createLineItems responseTime=1080 requestId=833abc286bd6856bf63c94009eab0ada server=ads.google.com isFault=1 faultMessage=[UniqueError.NOT_UNIQUE @ lineItem[2].name; trigger:'552bfdead4668', UniqueError.NOT_UNIQUE @ lineItem[3].name; trigger:'552bfdead4668', UniqueError.NOT_UNIQUE @ lineItem[4].name; trigger:'552bfdead4668']
[Apr 13 2015 19:36:20.000000 - INFO] service=LineItemService method=createLineItems responseTime=1364 requestId=7442eaf55e67b5a710de63e2fd1f1331 server=ads.google.com isFault=0 faultMessage=null
[Apr 13 2015 19:39:14.000000 - ERROR] service=LineItemService method=createLineItems responseTime=774 requestId=88f75b708b88a1d7def21f22f2512563 server=ads.google.com isFault=1 faultMessage=[CommonError.NOT_FOUND @ lineItem[0].placement.Id; trigger:'40331690']
[Apr 13 2015 19:39:27.000000 - ERROR] service=LineItemService method=createLineItems responseTime=620 requestId=af8af157999fde887a39b76a835ab5c5 server=ads.google.com isFault=1 faultMessage=[CommonError.NOT_FOUND @ lineItem[0].placement.Id; trigger:'40331690']
[Apr 13 2015 22:40:40.000000 - INFO] service=LineItemService method=getLineItemsByStatement responseTime=1550 requestId=1cee03eb79f168bb2862439c1183bc61 server=ads.google.com isFault=0 faultMessage=null
[Apr 13 2015 23:22:02.000000 - ERROR] service=LineItemService method=getLineItemsByStatement responseTime=811 requestId=51c50a55292ab673f18fdfad73ebd07b server=ads.google.com isFault=1 faultMessage=[StatementError.VARIABLE_NOT_BOUND_TO_VALUE @ ; trigger:'id']
[Apr 13 2015 23:24:08.000000 - ERROR] service=LineItemService method=getLineItemsByStatement responseTime=689 requestId=b1fc53b77a49763c47dda446951149fe server=ads.google.com isFault=1 faultMessage=[StatementError.VARIABLE_NOT_BOUND_TO_VALUE @ ; trigger:'id']
[Apr 13 2015 23:24:15.000000 - ERROR] service=LineItemService method=getLineItemsByStatement responseTime=829 requestId=7036efcebe5ca63404cae42e3121ba95 server=ads.google.com isFault=1 faultMessage=[StatementError.VARIABLE_NOT_BOUND_TO_VALUE @ ; trigger:'id']
[Apr 13 2015 23:24:21.000000 - ERROR] service=LineItemService method=getLineItemsByStatement responseTime=699 requestId=49198ea6e53256f24223c047defb0a58 server=ads.google.com isFault=1 faultMessage=[StatementError.VARIABLE_NOT_BOUND_TO_VALUE @ ; trigger:'id']
[Apr 13 2015 23:32:04.000000 - ERROR] service=LineItemService method=getLineItemsByStatement responseTime=693 requestId=1fbbebc4f63dc1dac1f48b93d2165243 server=ads.google.com isFault=1 faultMessage=[StatementError.VARIABLE_NOT_BOUND_TO_VALUE @ ; trigger:'id']
[Apr 13 2015 23:36:22.000000 - ERROR] service=LineItemService method=getLineItemsByStatement responseTime=718 requestId=857f83a735116f387fda0e42327ed263 server=ads.google.com isFault=1 faultMessage=[StatementError.VARIABLE_NOT_BOUND_TO_VALUE @ ; trigger:'id']
[Apr 13 2015 23:36:50.000000 - ERROR] service=LineItemService method=getLineItemsByStatement responseTime=959 requestId=21592af0322aa39cdded94de717be3b0 server=ads.google.com isFault=1 faultMessage=[StatementError.VARIABLE_NOT_BOUND_TO_VALUE @ ; trigger:'id']
[Apr 13 2015 23:38:19.000000 - ERROR] service=LineItemService method=getLineItemsByStatement responseTime=602 requestId=7dc917d39fd828f2ba2dd120f5f2aa46 server=ads.google.com isFault=1 faultMessage=[StatementError.VARIABLE_NOT_BOUND_TO_VALUE @ ; trigger:'id']
[Apr 13 2015 23:44:34.000000 - ERROR] service=LineItemService method=getLineItemsByStatement responseTime=800 requestId=7792791b9eea74bfe4a014a03f52c1bd server=ads.google.com isFault=1 faultMessage=[StatementError.VARIABLE_NOT_BOUND_TO_VALUE @ ; trigger:'id']
[Apr 14 2015 00:02:23.000000 - ERROR] service=LineItemService method=getLineItemsByStatement responseTime=593 requestId=65e156b8e59cd6af9e3fc1b4feb98919 server=ads.google.com isFault=1 faultMessage=[StatementError.VARIABLE_NOT_BOUND_TO_VALUE @ ; trigger:'id']
